1;1536
2;3072
3;2304
4;3072
5;0
6;0
7;768
8;0
9;768
10;3072
11;0
12;2304
13;0
14;3072
15;2304
16;0
17;0
18;0
19;3072
20;3072
21;0
22;3072
23;2304
24;4608
25;0
26;0
27;3072
28;0
29;0
30;2304
31;0
32;2304
33;2304
34;0
35;2304
36;3072
37;0
38;0
39;0
40;768
41;2304
42;1536
43;2304
44;0
45;0
46;768
47;3072
48;0
49;0
50;0
51;0
52;2304
53;2304
54;0
55;0
56;2304
57;0
58;0
59;3072
60;0
61;2304
62;3072
63;0
64;3072
65;3072
66;3072
67;1536
68;1536
69;2304
70;2304
71;768
72;768
73;768
74;2304
75;768
76;3072
77;0
78;2304
79;0
80;0
81;2304
82;0
83;0
84;0
85;2304
86;2304
87;3072
88;0
89;3072
90;0
91;0
92;2304
93;768
94;0
95;0
96;3072
97;0
98;0
99;0
100;3072
